"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name","dma2_name"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","OKLAHOMA CITY-OK"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","OMAHA-NE"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","PORTLAND-OR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","PROVIDENCE-RI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","TAMPA/ST. PETE/LAKELAND-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","ALBUQUERQUE/SANTA FE-NM"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","ALEXANDRIA-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","AUGUSTA-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BEND-OR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BILLINGS-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BILOXI/GULFPORT-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BIRMINGHAM-AL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BLUEFIELD-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BOISE-ID"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BOWLING GREEN-KY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","BUTTE/BOZEMAN-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","CEDAR RAPIDS-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","CHARLESTON-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","CHATTANOOGA-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","CHEYENNE- WY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","CLARKSBURG-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","COLORADO SPRINGS-CO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","COLUMBIA/JEFFERSON CITY-MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","COLUMBUS-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","COLUMBUS/TUPELO/WESTPOINT-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","FARGO-ND"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","FLORENCE/MYRTLE BEACH-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","FORT MYERS/NAPLES-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GAINESVILLE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GLENDIVE-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GRAND JUNCTION/MONTROSE-CO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GREAT FALLS-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GREENSBORO-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GREENVILLE-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","GREENWOOD-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","HARRISONBURG-VA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_4","HATTIESBURG/LAUREL-MS"
